Solute,Soil Biota Treatment,Soil Moisture Treatment,Est. Difference,Conf. Low,Conf. High,P-value
Inorganic Carbon,Microbes Only,2,-26.980,-74.600,20.640,0.264
Inorganic Carbon,Plant & Microbes,2,-6.326,-41.148,28.496,0.720
Inorganic Carbon,Plant Only,2,-16.768,-50.896,17.359,0.333
Inorganic Carbon,Microbes Only,3,28.583,-18.805,75.970,0.235
Inorganic Carbon,Plant & Microbes,3,-3.061,-37.701,31.579,0.861
Inorganic Carbon,Plant Only,3,-6.191,-42.315,29.933,0.735
Lithium,Microbes Only,1,-0.196,-0.472,0.080,0.163
Lithium,Plant & Microbes,1,0.183,-0.024,0.390,0.083
Lithium,Plant Only,1,0.219,0.030,0.409,0.024
Lithium,Microbes Only,2,0.023,-0.254,0.300,0.871
Lithium,Plant & Microbes,2,0.217,0.023,0.412,0.029
Lithium,Plant Only,2,0.251,0.064,0.438,0.009
Lithium,Microbes Only,3,0.353,0.087,0.619,0.010
Lithium,Plant & Microbes,3,0.129,-0.054,0.311,0.164
Lithium,Plant Only,3,0.125,-0.072,0.322,0.210
Magnesium,Microbes Only,1,0.026,-0.831,0.882,0.953
Magnesium,Plant & Microbes,1,0.915,0.269,1.561,0.006
Magnesium,Plant Only,1,0.199,-0.396,0.793,0.509
Magnesium,Microbes Only,2,1.336,0.447,2.225,0.004
Magnesium,Plant & Microbes,2,1.496,0.882,2.111,< 0.001
Magnesium,Plant Only,2,0.785,0.192,1.378,0.010
Magnesium,Microbes Only,3,0.997,0.139,1.856,0.023
Magnesium,Plant & Microbes,3,0.896,0.306,1.485,0.003
Magnesium,Plant Only,3,0.443,-0.187,1.074,0.167
Nitrate,Microbes Only,1,-0.139,-0.684,0.407,0.615
Nitrate,Plant & Microbes,1,-0.246,-0.841,0.349,0.413
Nitrate,Plant Only,1,-0.277,-0.867,0.313,0.354
Nitrate,Microbes Only,2,-0.139,-0.684,0.407,0.615
Nitrate,Plant & Microbes,2,-0.246,-0.841,0.349,0.413
Nitrate,Plant Only,2,-0.277,-0.867,0.313,0.354
Nitrate,Microbes Only,3,-0.139,-0.684,0.407,0.615
Nitrate,Plant & Microbes,3,-0.246,-0.841,0.349,0.413
Nitrate,Plant Only,3,-0.277,-0.867,0.313,0.354
Organic Carbon,Microbes Only,1,-0.015,-0.518,0.487,0.952
Organic Carbon,Plant & Microbes,1,-0.494,-1.429,0.442,0.299
Organic Carbon,Plant Only,1,-0.528,-1.460,0.404,0.264
Organic Carbon,Microbes Only,2,-0.015,-0.518,0.487,0.952
Organic Carbon,Plant & Microbes,2,-0.494,-1.429,0.442,0.299
Organic Carbon,Plant Only,2,-0.528,-1.460,0.404,0.264
Organic Carbon,Microbes Only,3,-0.015,-0.518,0.487,0.952
Organic Carbon,Plant & Microbes,3,-0.494,-1.429,0.442,0.299
Organic Carbon,Plant Only,3,-0.528,-1.460,0.404,0.264
Phosphate,Microbes Only,1,1.096,-0.378,2.569,0.143
Phosphate,Plant & Microbes,1,1.780,0.349,3.212,0.015
Phosphate,Plant Only,1,-0.532,-1.913,0.849,0.446
Phosphate,Microbes Only,2,1.096,-0.378,2.569,0.143
Phosphate,Plant & Microbes,2,1.780,0.349,3.212,0.015
Phosphate,Plant Only,2,-0.532,-1.913,0.849,0.446
Phosphate,Microbes Only,3,1.096,-0.378,2.569,0.143
Phosphate,Plant & Microbes,3,1.780,0.349,3.212,0.015
Phosphate,Plant Only,3,-0.532,-1.913,0.849,0.446
Potassium,Microbes Only,1,-1.123,-1.696,-0.549,< 0.001
Potassium,Plant & Microbes,1,-0.118,-0.565,0.330,0.603
Potassium,Plant Only,1,-0.024,-0.438,0.390,0.910
Potassium,Microbes Only,2,-0.412,-1.007,0.184,0.174
Potassium,Plant & Microbes,2,0.009,-0.418,0.435,0.969
Potassium,Plant Only,2,-0.079,-0.491,0.333,0.704
Potassium,Microbes Only,3,0.587,0.012,1.162,0.046
Potassium,Plant & Microbes,3,-0.105,-0.516,0.305,0.612
Potassium,Plant Only,3,-0.020,-0.458,0.418,0.928
Sodium,Microbes Only,1,-89.156,-967.513,789.201,0.841
Sodium,Plant & Microbes,1,260.210,-541.118,1061.538,0.520
Sodium,Plant Only,1,294.598,-437.509,1026.706,0.426
Sodium,Microbes Only,2,-472.820,-1338.491,392.851,0.281
Sodium,Plant & Microbes,2,-8.274,-543.229,526.682,0.976
Sodium,Plant Only,2,-55.955,-559.254,447.344,0.826
Sodium,Microbes Only,3,583.351,-30.980,1197.683,0.062
Sodium,Plant & Microbes,3,308.288,-116.080,732.656,0.152
Sodium,Plant Only,3,341.793,-114.068,797.654,0.140
Sulfate,Microbes Only,1,-529.134,-1284.091,225.822,0.168
Sulfate,Plant & Microbes,1,2.870,-662.950,668.689,0.993
Sulfate,Plant Only,1,4.806,-641.526,651.138,0.988
Sulfate,Microbes Only,2,-724.675,-1437.313,-12.038,0.046
Sulfate,Plant & Microbes,2,-337.264,-974.266,299.739,0.296
Sulfate,Plant Only,2,-315.627,-942.060,310.805,0.320
Sulfate,Microbes Only,3,298.647,-383.469,980.764,0.388
Sulfate,Plant & Microbes,3,-66.412,-689.660,556.837,0.833
Sulfate,Plant Only,3,-329.059,-980.239,322.122,0.319
